3000,0.586,4,16,2255
4000,0.647,4,19,902
5000,0.664,5,19,902
6000,0.708,5,17,902
7000,0.688,4,15,902
8000,0.681,4,14,902
9000,0.695,3,15,902
10000,0.674,4,16,902
11000,0.708,5,17,902
12000,0.716,5,14,902
13000,0.730,3,16,902
14000,0.743,4,17,902
15000,0.723,4,18,902
16000,0.702,4,15,902
17000,0.712,3,16,902
18000,0.745,4,15,902
19000,0.746,4,17,902
20000,0.742,4,17,902
21000,0.754,4,14,902
22000,0.750,4,15,902
23000,0.763,2,16,902
24000,0.757,3,18,902
25000,0.745,4,16,902
26000,0.756,4,31,902
27000,0.752,4,54,902
28000,0.762,3,19,902
29000,0.772,4,18,902
30000,0.793,4,16,902
31000,0.770,4,17,902
32000,0.762,4,16,902
33000,0.788,5,16,902
34000,0.757,4,21,902
35000,0.765,4,17,902
36000,0.779,4,20,902
37000,0.758,4,16,902
38000,0.780,26,38,902
39000,0.783,4,25,902
40000,0.784,15,30,902
41000,0.771,17,110,902
42000,0.812,5,50,902
43000,0.796,7,21,902
44000,0.782,3,17,902
45000,0.779,3,20,902
46000,0.773,2,12,902
47000,0.780,4,16,902
48000,0.785,4,14,902
49000,0.821,4,12,902
50000,0.795,3,12,902
51000,0.813,3,13,902
52000,0.805,3,13,902
53000,0.783,3,11,902
54000,0.818,3,12,902
55000,0.795,4,13,902
56000,0.825,3,11,902
57000,0.825,4,12,902
58000,0.818,3,15,902
59000,0.829,4,11,902
60000,0.802,4,16,902
61000,0.838,3,15,902
62000,0.839,3,12,902
63000,0.824,4,13,902
64000,0.811,4,15,902
65000,0.841,3,10,902
66000,0.841,5,11,902
67000,0.835,3,15,902
68000,0.836,4,10,902
69000,0.845,6,13,902
70000,0.823,3,18,902
71000,0.838,3,11,902
72000,0.824,5,17,902
73000,0.868,3,16,902
74000,0.855,4,14,902
75000,0.865,6,15,902
76000,0.847,3,16,902
77000,0.881,3,13,902
78000,0.866,4,17,902
79000,0.871,3,15,902
80000,0.850,3,12,902
81000,0.884,3,10,902
82000,0.872,3,11,902
83000,0.875,4,10,902
84000,0.855,3,12,902
85000,0.863,3,12,902
86000,0.867,3,14,902
87000,0.868,5,24,902
88000,0.876,8,20,902
89000,0.857,3,24,902
90000,0.863,10,21,902
91000,0.888,4,17,902
92000,0.887,11,32,902
93000,0.873,6,26,902
94000,0.868,6,19,902
95000,0.864,16,46,902
96000,0.879,10,31,902
97000,0.865,4,21,902
98000,0.882,5,18,902
99000,0.891,5,17,902
100000,0.882,7,35,902
