3000,0.637,4,22,2255
4000,0.623,3,17,902
5000,0.585,3,18,902
6000,0.572,2,10,902
7000,0.576,3,10,902
8000,0.613,5,12,902
9000,0.633,2,12,902
10000,0.642,2,9,902
11000,0.698,2,8,902
12000,0.753,2,8,902
13000,0.779,2,8,902
14000,0.808,2,8,902
15000,0.799,2,8,902
16000,0.771,3,10,902
17000,0.775,2,14,902
18000,0.773,2,12,902
19000,0.784,2,8,902
20000,0.747,2,9,902
21000,0.757,2,8,902
22000,0.792,2,8,902
23000,0.807,2,8,902
24000,0.822,2,9,902
25000,0.809,3,14,902
26000,0.777,3,10,902
27000,0.791,2,9,902
28000,0.832,2,8,902
29000,0.831,2,8,902
30000,0.819,2,8,902
31000,0.806,2,8,902
32000,0.803,2,8,902
33000,0.817,2,10,902
34000,0.821,4,13,902
35000,0.809,2,11,902
36000,0.817,2,8,902
37000,0.810,2,8,902
38000,0.809,2,8,902
39000,0.822,2,8,902
40000,0.807,2,8,902
41000,0.817,2,8,902
42000,0.812,2,10,902
43000,0.810,2,15,902
44000,0.824,2,10,902
45000,0.815,2,8,902
46000,0.828,2,8,902
47000,0.840,2,8,902
48000,0.848,2,8,902
49000,0.863,2,8,902
50000,0.854,2,8,902
51000,0.860,2,9,902
52000,0.871,3,11,902
53000,0.864,2,11,902
54000,0.888,2,8,902
55000,0.891,2,8,902
56000,0.871,2,8,902
57000,0.880,2,8,902
58000,0.897,2,8,902
59000,0.906,2,8,902
60000,0.889,2,8,902
61000,0.891,3,9,902
62000,0.913,2,14,902
63000,0.887,2,8,902
64000,0.902,2,11,902
65000,0.906,2,8,902
66000,0.887,2,8,902
67000,0.874,2,8,902
68000,0.885,2,8,902
69000,0.872,2,8,902
70000,0.871,3,10,902
71000,0.850,2,13,902
72000,0.867,3,8,902
73000,0.863,2,10,902
74000,0.878,2,8,902
75000,0.880,2,8,902
76000,0.886,2,8,902
77000,0.882,2,8,902
78000,0.886,2,8,902
79000,0.892,3,9,902
80000,0.885,2,13,902
81000,0.897,4,8,902
82000,0.893,2,9,902
83000,0.900,2,8,902
84000,0.912,2,8,902
85000,0.901,2,8,902
86000,0.901,2,8,902
87000,0.899,2,8,902
88000,0.894,2,9,902
89000,0.907,4,12,902
90000,0.912,2,8,902
91000,0.908,2,12,902
92000,0.912,2,8,902
93000,0.918,2,8,902
94000,0.923,2,8,902
95000,0.925,2,8,902
96000,0.924,2,8,902
97000,0.916,2,9,902
98000,0.919,4,11,902
99000,0.916,4,9,902
100000,0.913,2,9,902
