3000,0.681,2,14,0
4000,0.576,3,14,0
5000,0.577,3,17,0
6000,0.599,4,16,0
7000,0.632,1,9,0
8000,0.622,2,8,0
9000,0.492,2,9,0
10000,0.517,1,11,0
11000,0.542,1,9,0
12000,0.517,1,7,0
13000,0.507,1,7,0
14000,0.583,1,7,0
15000,0.562,1,7,0
16000,0.607,1,7,0
17000,0.565,1,7,0
18000,0.681,1,7,0
19000,0.586,2,8,0
20000,0.631,2,9,0
21000,0.614,2,11,0
22000,0.681,2,10,0
23000,0.706,2,7,0
24000,0.598,1,7,0
25000,0.628,1,7,0
26000,0.639,1,7,0
27000,0.615,1,7,0
28000,0.620,1,7,0
29000,0.643,2,8,0
30000,0.648,3,10,0
31000,0.624,2,12,0
32000,0.645,1,15,0
33000,0.609,2,10,0
34000,0.608,1,7,0
35000,0.668,1,7,0
36000,0.585,1,7,0
37000,0.728,1,7,0
38000,0.650,1,7,0
39000,0.669,2,9,0
40000,0.617,2,14,0
41000,0.675,2,17,0
42000,0.650,2,9,0
43000,0.666,1,7,0
44000,0.715,2,7,0
45000,0.684,1,7,0
