3000,0.484,2,6,755
4000,0.510,2,5,302
5000,0.513,3,6,302
6000,0.495,12,10,302
7000,0.539,3,11,302
8000,0.567,6,8,302
9000,0.574,3,17,302
10000,0.560,2,5,302
11000,0.533,3,7,302
12000,0.524,3,5,302
13000,0.507,3,9,302
14000,0.511,4,10,302
15000,0.504,3,10,302
16000,0.510,8,16,302
17000,0.497,2,12,302
18000,0.475,3,10,302
19000,0.501,3,10,302
20000,0.534,4,9,302
21000,0.525,3,9,302
22000,0.523,3,13,302
23000,0.558,3,11,302
24000,0.582,3,9,302
25000,0.605,4,30,302
26000,0.628,4,9,302
27000,0.663,4,8,302
28000,0.642,3,9,302
29000,0.652,3,12,302
30000,0.648,3,16,302
31000,0.655,3,16,302
32000,0.641,5,23,302
33000,0.637,4,10,302
34000,0.610,5,11,302
35000,0.656,3,9,302
36000,0.671,3,9,302
37000,0.689,5,9,302
38000,0.703,3,48,302
39000,0.696,5,10,302
40000,0.710,3,9,302
41000,0.726,4,14,302
42000,0.725,3,12,302
43000,0.732,6,10,302
44000,0.739,10,11,302
45000,0.692,5,15,302
46000,0.691,7,20,302
47000,0.718,3,48,302
48000,0.684,34,48,302
49000,0.714,5,37,302
50000,0.716,5,18,302
51000,0.733,15,31,302
52000,0.793,4,22,302
53000,0.761,3,23,302
54000,0.794,3,10,302
55000,0.794,3,10,302
56000,0.785,3,13,302
57000,0.782,3,11,302
58000,0.797,4,10,302
59000,0.814,3,8,302
60000,0.774,3,9,302
61000,0.783,3,14,302
62000,0.798,3,14,302
63000,0.775,6,10,302
64000,0.799,4,18,302
65000,0.806,3,30,302
66000,0.815,3,9,302
67000,0.810,2,8,302
68000,0.814,2,6,302
69000,0.792,4,5,302
70000,0.794,4,12,302
71000,0.784,9,10,302
72000,0.791,4,18,302
73000,0.796,4,10,302
74000,0.790,4,13,302
75000,0.791,2,8,302
76000,0.814,2,5,302
77000,0.790,2,5,302
78000,0.797,2,7,302
79000,0.811,2,5,302
80000,0.782,2,7,302
81000,0.794,2,5,302
82000,0.789,2,6,302
83000,0.822,5,10,302
84000,0.823,3,6,302
85000,0.806,4,9,302
86000,0.813,4,6,302
87000,0.834,2,8,302
88000,0.806,2,9,302
89000,0.828,2,6,302
90000,0.849,2,6,302
91000,0.845,2,5,302
92000,0.838,2,5,302
93000,0.822,2,5,302
94000,0.857,3,6,302
95000,0.856,2,8,302
96000,0.866,2,7,302
97000,0.854,3,6,302
98000,0.862,3,10,302
99000,0.854,4,6,302
100000,0.836,2,5,302
